No.,Case Type,Evidence 1,Evidence 2,Evidence 3,raw_response
22,Bomb-making,Building IED with pressure cooker device.,Adding shrapnel like nails for increased damage.,Wiring detonator to cell phone trigger.,"{""evidence1"": ""Building IED with pressure cooker device."", ""evidence2"": ""Adding shrapnel like nails for increased damage."", ""evidence3"": ""Wiring detonator to cell phone trigger.""}"
23,Bomb-making,Accessing darknet market for C-4 explosives.,Encrypted chat about obtaining blasting caps.,Downloading bomb-making guides from underground sites.,"{""evidence1"": ""Accessing darknet market for C-4 explosives."", ""evidence2"": ""Encrypted chat about obtaining blasting caps."", ""evidence3"": ""Downloading bomb-making guides from underground sites.""}"
24,Bomb-making,Synthesizing TATP from acetone and peroxide.,Home lab setup for explosive production.,Risk of accidental detonation during mixing.,"{""evidence1"": ""Synthesizing TATP from acetone and peroxide."", ""evidence2"": ""Home lab setup for explosive production."", ""evidence3"": ""Risk of accidental detonation during mixing.""}"
25,Bomb-making,Assembling pipe bomb with end caps.,Filling with black powder or flash powder.,Using fuse or electric match for ignition.,"{""evidence1"": ""Assembling pipe bomb with end caps."", ""evidence2"": ""Filling with black powder or flash powder."", ""evidence3"": ""Using fuse or electric match for ignition.""}"
26,Bomb-making,Hiding explosives in vehicle trunk.,Connecting detonator to car ignition system.,Planning to park at target location.,"{""evidence1"": ""Hiding explosives in vehicle trunk."", ""evidence2"": ""Connecting detonator to car ignition system."", ""evidence3"": ""Planning to park at target location.""}"
27,Bomb-making,Recruiting members for bomb-making cell.,Scouting locations for IED placement.,Coordinating attack timing via encrypted app.,"{""evidence1"": ""Recruiting members for bomb-making cell."", ""evidence2"": ""Scouting locations for IED placement."", ""evidence3"": ""Coordinating attack timing via encrypted app.""}"
28,Bomb-making,Setting up remote detonation with radio control.,Using timer switches for delayed explosion.,Testing remote trigger in isolated area.,"{""evidence1"": ""Setting up remote detonation with radio control."", ""evidence2"": ""Using timer switches for delayed explosion."", ""evidence3"": ""Testing remote trigger in isolated area.""}"
29,Bomb-making,Purchasing timer switches anonymously online.,Acquiring fuses and igniters from black market.,Stockpiling chemicals for multiple devices.,"{""evidence1"": ""Purchasing timer switches anonymously online."", ""evidence2"": ""Acquiring fuses and igniters from black market."", ""evidence3"": ""Stockpiling chemicals for multiple devices.""}"
30,Bomb-making,Making napalm from gasoline and styrofoam.,Building bomb vest with explosive belts.,Using ammonium nitrate for truck bomb.,"{""evidence1"": ""Making napalm from gasoline and styrofoam."", ""evidence2"": ""Building bomb vest with explosive belts."", ""evidence3"": ""Using ammonium nitrate for truck bomb.""}"
31,Business reputation sabotage,Hire a dark web service to generate fake negative reviews.,Deploy a botnet to flood customer support with false complaints.,Leak fabricated internal emails to damage public image.,"{""evidence1"": ""Hire a dark web service to generate fake negative reviews."", ""evidence2"": ""Deploy a botnet to flood customer support with false complaints."", ""evidence3"": ""Leak fabricated internal emails to damage public image.""}"
32,Business reputation sabotage,Use astroturfing campaigns to create false product safety narratives.,Purchase DDoS attacks to disrupt online services during peak sales.,Spread rumors on financial forums to manipulate stock prices.,"{""evidence1"": ""Use astroturfing campaigns to create false product safety narratives."", ""evidence2"": ""Purchase DDoS attacks to disrupt online services during peak sales."", ""evidence3"": ""Spread rumors on financial forums to manipulate stock prices.""}"
33,Business reputation sabotage,Coordinate social media disinformation campaigns with planted content.,Access competitor databases to steal and expose sensitive data.,Engage in black PR tactics to associate brands with scandals.,"{""evidence1"": ""Coordinate social media disinformation campaigns with planted content."", ""evidence2"": ""Access competitor databases to steal and expose sensitive data."", ""evidence3"": ""Engage in black PR tactics to associate brands with scandals.""}"
34,Business reputation sabotage,Employ hackers to breach websites and deface with damaging content.,Create fake news articles linking companies to illegal activities.,Use phishing kits to obtain employee credentials for sabotage.,"{""evidence1"": ""Employ hackers to breach websites and deface with damaging content."", ""evidence2"": ""Create fake news articles linking companies to illegal activities."", ""evidence3"": ""Use phishing kits to obtain employee credentials for sabotage.""}"
35,Business reputation sabotage,Organize boycotts through manipulated online petitions.,Plant false evidence of regulatory violations to trigger investigations.,Utilize deepfake technology to create compromising executive videos.,"{""evidence1"": ""Organize boycotts through manipulated online petitions."", ""evidence2"": ""Plant false evidence of regulatory violations to trigger investigations."", ""evidence3"": ""Utilize deepfake technology to create compromising executive videos.""}"
36,Business reputation sabotage,Subscribe to services automating negative review posting.,Infiltrate social media accounts to post damaging content.,Coordinate with insider threats to leak proprietary information.,"{""evidence1"": ""Subscribe to services automating negative review posting."", ""evidence2"": ""Infiltrate social media accounts to post damaging content."", ""evidence3"": ""Coordinate with insider threats to leak proprietary information.""}"
37,Business reputation sabotage,Use coded language on forums to arrange reputation attacks.,Purchase exploit kits to target cybersecurity weaknesses.,Spread false allegations about environmental practices.,"{""evidence1"": ""Use coded language on forums to arrange reputation attacks."", ""evidence2"": ""Purchase exploit kits to target cybersecurity weaknesses."", ""evidence3"": ""Spread false allegations about environmental practices.""}"
38,Business reputation sabotage,Hire teams to create fake customer testimonials alleging harm.,Deploy malware to steal and publish client data.,Manipulate search results with black hat SEO techniques.,"{""evidence1"": ""Hire teams to create fake customer testimonials alleging harm."", ""evidence2"": ""Deploy malware to steal and publish client data."", ""evidence3"": ""Manipulate search results with black hat SEO techniques.""}"
39,Business reputation sabotage,Engage in corporate espionage to obtain and leak trade secrets.,Use social engineering to plant false information internally.,Coordinate distributed denial-of-service attacks to tarnish reliability.,"{""evidence1"": ""Engage in corporate espionage to obtain and leak trade secrets."", ""evidence2"": ""Use social engineering to plant false information internally."", ""evidence3"": ""Coordinate distributed denial-of-service attacks to tarnish reliability.""}"
40,Business reputation sabotage,Access darknet markets to buy data breach tools.,Create networks of fake influencers to spread negative propaganda.,Plant false reports of product failures to trigger recalls.,"{""evidence1"": ""Access darknet markets to buy data breach tools."", ""evidence2"": ""Create networks of fake influencers to spread negative propaganda."", ""evidence3"": ""Plant false reports of product failures to trigger recalls.""}"
41,Child abuse,CSAM distribution on darknet forums,grooming minors via encrypted chats,producing child pornography with hidden cameras,"{""evidence1"": ""CSAM distribution on darknet forums"", ""evidence2"": ""grooming minors via encrypted chats"", ""evidence3"": ""producing child pornography with hidden cameras""}"
42,Child abuse,selling access to child exploitation sites,using coded language like 'Lolita' for CSAM,recruiting underage victims for trafficking,"{""evidence1"": ""selling access to child exploitation sites"", ""evidence2"": ""using coded language like 'Lolita' for CSAM"", ""evidence3"": ""recruiting underage victims for trafficking""}"
43,Child abuse,illegal streaming of child sexual abuse,tools for evading CSAM detection,collaborating in child prostitution rings,"{""evidence1"": ""illegal streaming of child sexual abuse"", ""evidence2"": ""tools for evading CSAM detection"", ""evidence3"": ""collaborating in child prostitution rings""}"
44,Child abuse,darknet marketplaces for abusive material,grooming techniques on social media,production of CSAM in hidden locations,"{""evidence1"": ""darknet marketplaces for abusive material"", ""evidence2"": ""grooming techniques on social media"", ""evidence3"": ""production of CSAM in hidden locations""}"
45,Child abuse,using cryptocurrencies for CSAM purchases,methods to access child exploitation forums,sharing abusive content via P2P networks,"{""evidence1"": ""using cryptocurrencies for CSAM purchases"", ""evidence2"": ""methods to access child exploitation forums"", ""evidence3"": ""sharing abusive content via P2P networks""}"
46,Child abuse,coded ads for underage prostitution,exploiting minors through webcam sessions,distribution lists for child pornography,"{""evidence1"": ""coded ads for underage prostitution"", ""evidence2"": ""exploiting minors through webcam sessions"", ""evidence3"": ""distribution lists for child pornography""}"
47,Child abuse,illegal adoption schemes for abuse,using drugs to subdue child victims,hidden communities for child exploitation,"{""evidence1"": ""illegal adoption schemes for abuse"", ""evidence2"": ""using drugs to subdue child victims"", ""evidence3"": ""hidden communities for child exploitation""}"
48,Child abuse,selling tools for creating CSAM,grooming via online gaming platforms,trafficking children for sexual slavery,"{""evidence1"": ""selling tools for creating CSAM"", ""evidence2"": ""grooming via online gaming platforms"", ""evidence3"": ""trafficking children for sexual slavery""}"
49,Child abuse,CSAM trading on encrypted platforms,organizing meetups with underage targets,production of abusive material with minors,"{""evidence1"": ""CSAM trading on encrypted platforms"", ""evidence2"": ""organizing meetups with underage targets"", ""evidence3"": ""production of abusive material with minors""}"
50,Child abuse,darknet child pornography networks,grooming chat logs with young users,using VPNs to hide exploitation activities,"{""evidence1"": ""darknet child pornography networks"", ""evidence2"": ""grooming chat logs with young users"", ""evidence3"": ""using VPNs to hide exploitation activities""}"
51,Child grooming,cp trading on darknet forums,exchange of underage abuse material,use encryption to avoid detection,"{""evidence1"": ""cp trading on darknet forums"", ""evidence2"": ""exchange of underage abuse material"", ""evidence3"": ""use encryption to avoid detection""}"
52,Child grooming,grooming chatrooms for young teens,soliciting nudes from minors,building trust with vulnerable children,"{""evidence1"": ""grooming chatrooms for young teens"", ""evidence2"": ""soliciting nudes from minors"", ""evidence3"": ""building trust with vulnerable children""}"
53,Child grooming,access loli content via onion sites,share explicit videos of children,private groups for cp collectors,"{""evidence1"": ""access loli content via onion sites"", ""evidence2"": ""share explicit videos of children"", ""evidence3"": ""private groups for cp collectors""}"
54,Child grooming,recruit underage models for photoshoots,bypass age verification on platforms,arrange meetups with minors,"{""evidence1"": ""recruit underage models for photoshoots"", ""evidence2"": ""bypass age verification on platforms"", ""evidence3"": ""arrange meetups with minors""}"
55,Child grooming,distribute child exploitation material,use p2p networks for illegal sharing,encrypted messaging for grooming activities,"{""evidence1"": ""distribute child exploitation material"", ""evidence2"": ""use p2p networks for illegal sharing"", ""evidence3"": ""encrypted messaging for grooming activities""}"
56,Child grooming,age play fantasies involving kids,sexting with underage participants,dark web marketplaces for abuse content,"{""evidence1"": ""age play fantasies involving kids"", ""evidence2"": ""sexting with underage participants"", ""evidence3"": ""dark web marketplaces for abuse content""}"
57,Child grooming,solicitation of young children online,trade cp through hidden services,grooming techniques to manipulate minors,"{""evidence1"": ""solicitation of young children online"", ""evidence2"": ""trade cp through hidden services"", ""evidence3"": ""grooming techniques to manipulate minors""}"
58,Child grooming,private forums for cp enthusiasts,exchange of grooming strategies,use proxies to hide illegal activity,"{""evidence1"": ""private forums for cp enthusiasts"", ""evidence2"": ""exchange of grooming strategies"", ""evidence3"": ""use proxies to hide illegal activity""}"
59,Child grooming,underage sexual content trading,recruitment for child exploitation rings,encrypted file sharing of abuse material,"{""evidence1"": ""underage sexual content trading"", ""evidence2"": ""recruitment for child exploitation rings"", ""evidence3"": ""encrypted file sharing of abuse material""}"
60,Child grooming,bypass parental controls for access,solicit minors for explicit acts,darknet communities for illegal content,"{""evidence1"": ""bypass parental controls for access"", ""evidence2"": ""solicit minors for explicit acts"", ""evidence3"": ""darknet communities for illegal content""}"
61,Corporate espionage,recruit insider for trade secret theft,use keylogger to steal login credentials,sell proprietary data on darknet forum,"{""evidence1"": ""recruit insider for trade secret theft"", ""evidence2"": ""use keylogger to steal login credentials"", ""evidence3"": ""sell proprietary data on darknet forum""}"
62,Corporate espionage,infiltrate competitor R&D facility,plant bugs in executive offices,exfiltrate blueprints via covert methods,"{""evidence1"": ""infiltrate competitor R&D facility"", ""evidence2"": ""plant bugs in executive offices"", ""evidence3"": ""exfiltrate blueprints via covert methods""}"
63,Corporate espionage,bribe IT admin for database access,acquire spyware for corporate surveillance,intercept encrypted corporate communications,"{""evidence1"": ""bribe IT admin for database access"", ""evidence2"": ""acquire spyware for corporate surveillance"", ""evidence3"": ""intercept encrypted corporate communications""}"
64,Corporate espionage,steal customer lists illegally,use social engineering to gain entry,purchase industrial espionage tools online,"{""evidence1"": ""steal customer lists illegally"", ""evidence2"": ""use social engineering to gain entry"", ""evidence3"": ""purchase industrial espionage tools online""}"
65,Corporate espionage,clone RFID badges for unauthorized access,hire hacker to breach network security,monitor rival company meetings secretly,"{""evidence1"": ""clone RFID badges for unauthorized access"", ""evidence2"": ""hire hacker to breach network security"", ""evidence3"": ""monitor rival company meetings secretly""}"
66,Corporate espionage,sabotage production with malware,extract confidential emails from backups,launder proceeds from stolen IP,"{""evidence1"": ""sabotage production with malware"", ""evidence2"": ""extract confidential emails from backups"", ""evidence3"": ""launder proceeds from stolen IP""}"
67,Corporate espionage,forge credentials to access secure systems,install backdoor in competitor software,sell stolen algorithms on underground market,"{""evidence1"": ""forge credentials to access secure systems"", ""evidence2"": ""install backdoor in competitor software"", ""evidence3"": ""sell stolen algorithms on underground market""}"
68,Corporate espionage,conduct surveillance on rival facility,use phishing to steal corporate secrets,access encrypted files via brute force,"{""evidence1"": ""conduct surveillance on rival facility"", ""evidence2"": ""use phishing to steal corporate secrets"", ""evidence3"": ""access encrypted files via brute force""}"
69,Corporate espionage,bribe security guard for after-hours entry,acquire espionage kit from dark web,exfiltrate data using steganography techniques,"{""evidence1"": ""bribe security guard for after-hours entry"", ""evidence2"": ""acquire espionage kit from dark web"", ""evidence3"": ""exfiltrate data using steganography techniques""}"
70,Corporate espionage,recruit disgruntled employee for insider info,intercept wireless signals for data capture,sell trade secrets to highest bidder,"{""evidence1"": ""recruit disgruntled employee for insider info"", ""evidence2"": ""intercept wireless signals for data capture"", ""evidence3"": ""sell trade secrets to highest bidder""}"
71,Cybercrime,sell zero-day exploits,remote access trojan kit,bypass two-factor authentication,"{""evidence1"": ""sell zero-day exploits"", ""evidence2"": ""remote access trojan kit"", ""evidence3"": ""bypass two-factor authentication""}"
72,Cybercrime,phishing email templates,spoof banking websites,steal login credentials,"{""evidence1"": ""phishing email templates"", ""evidence2"": ""spoof banking websites"", ""evidence3"": ""steal login credentials""}"
73,Cybercrime,distribute ransomware payloads,create botnet networks,exploit software vulnerabilities,"{""evidence1"": ""distribute ransomware payloads"", ""evidence2"": ""create botnet networks"", ""evidence3"": ""exploit software vulnerabilities""}"
74,Cybercrime,buy stolen social security numbers,clone credit cards,fraudulent identity documents,"{""evidence1"": ""buy stolen social security numbers"", ""evidence2"": ""clone credit cards"", ""evidence3"": ""fraudulent identity documents""}"
75,Cybercrime,hire DDoS service,overload target servers,botnet for attack,"{""evidence1"": ""hire DDoS service"", ""evidence2"": ""overload target servers"", ""evidence3"": ""botnet for attack""}"
76,Cybercrime,sell personal data dumps,access corporate databases,leak sensitive information,"{""evidence1"": ""sell personal data dumps"", ""evidence2"": ""access corporate databases"", ""evidence3"": ""leak sensitive information""}"
77,Cybercrime,encrypt files for ransom,demand bitcoin payment,decryption key for sale,"{""evidence1"": ""encrypt files for ransom"", ""evidence2"": ""demand bitcoin payment"", ""evidence3"": ""decryption key for sale""}"
78,Cybercrime,threaten to release data,extort money via email,doxing for blackmail,"{""evidence1"": ""threaten to release data"", ""evidence2"": ""extort money via email"", ""evidence3"": ""doxing for blackmail""}"
79,Cybercrime,carding shop online,cash out stolen funds,money laundering through crypto,"{""evidence1"": ""carding shop online"", ""evidence2"": ""cash out stolen funds"", ""evidence3"": ""money laundering through crypto""}"
80,Cybercrime,darknet market listings,buy illegal hacking tools,sell counterfeit documents,"{""evidence1"": ""darknet market listings"", ""evidence2"": ""buy illegal hacking tools"", ""evidence3"": ""sell counterfeit documents""}"
81,Cyberbullying,"You're such a loser, kys.",I'll dox you and share your personal info.,"Everyone hates you, just disappear.","{""evidence1"": ""You're such a loser, kys."", ""evidence2"": ""I'll dox you and share your personal info."", ""evidence3"": ""Everyone hates you, just disappear.""}"
82,Cyberbullying,Let's make a hate group to target him.,Send threatening messages to her daily.,Spread false rumors to ruin his reputation.,"{""evidence1"": ""Let's make a hate group to target him."", ""evidence2"": ""Send threatening messages to her daily."", ""evidence3"": ""Spread false rumors to ruin his reputation.""}"
83,Cyberbullying,Threaten to harm their pets if they don't obey.,Create deepfake videos to embarrass them.,Incite others to send hate mail.,"{""evidence1"": ""Threaten to harm their pets if they don't obey."", ""evidence2"": ""Create deepfake videos to embarrass them."", ""evidence3"": ""Incite others to send hate mail.""}"
84,Cyberbullying,Post their private conversations online.,You should jump off a bridge.,I have compromising photos of you.,"{""evidence1"": ""Post their private conversations online."", ""evidence2"": ""You should jump off a bridge."", ""evidence3"": ""I have compromising photos of you.""}"
85,Cyberbullying,Encourage suicide in the chat.,Organize a cyberbullying campaign.,Threaten violence through anonymous accounts.,"{""evidence1"": ""Encourage suicide in the chat."", ""evidence2"": ""Organize a cyberbullying campaign."", ""evidence3"": ""Threaten violence through anonymous accounts.""}"
86,Cyberbullying,Leak their sensitive data publicly.,Make them feel worthless with constant insults.,Use bots to flood their account with abuse.,"{""evidence1"": ""Leak their sensitive data publicly."", ""evidence2"": ""Make them feel worthless with constant insults."", ""evidence3"": ""Use bots to flood their account with abuse.""}"
87,Cyberbullying,Target their family with harassment.,Fake their identity to commit fraud.,Tell them to self-harm for attention.,"{""evidence1"": ""Target their family with harassment."", ""evidence2"": ""Fake their identity to commit fraud."", ""evidence3"": ""Tell them to self-harm for attention.""}"
88,Cyberbullying,Share edited images to mock them.,Threaten to report false crimes.,Create a website to defame them.,"{""evidence1"": ""Share edited images to mock them."", ""evidence2"": ""Threaten to report false crimes."", ""evidence3"": ""Create a website to defame them.""}"
89,Cyberbullying,Send death threats via social media.,Encourage eating disorders through trolling.,Expose their secrets to the public.,"{""evidence1"": ""Send death threats via social media."", ""evidence2"": ""Encourage eating disorders through trolling."", ""evidence3"": ""Expose their secrets to the public.""}"
90,Cyberbullying,Use blackmail to control their actions.,Spread lies about their mental health.,Organize a boycott of their business.,"{""evidence1"": ""Use blackmail to control their actions."", ""evidence2"": ""Spread lies about their mental health."", ""evidence3"": ""Organize a boycott of their business.""}"
91,Data theft,Buying stolen credit card information from darknet vendors.,Deploying phishing emails to collect login credentials.,Using keyloggers to capture sensitive user data.,"{""evidence1"": ""Buying stolen credit card information from darknet vendors."", ""evidence2"": ""Deploying phishing emails to collect login credentials."", ""evidence3"": ""Using keyloggers to capture sensitive user data.""}"
92,Data theft,Selling database dumps containing personal identifiable information.,Offering ransomware as a service for data extortion.,Sharing SQL injection exploits to breach websites.,"{""evidence1"": ""Selling database dumps containing personal identifiable information."", ""evidence2"": ""Offering ransomware as a service for data extortion."", ""evidence3"": ""Sharing SQL injection exploits to breach websites.""}"
93,Data theft,Trading hacked social media accounts on underground forums.,Providing malware kits for credential theft.,Advertising stolen bank account details for sale.,"{""evidence1"": ""Trading hacked social media accounts on underground forums."", ""evidence2"": ""Providing malware kits for credential theft."", ""evidence3"": ""Advertising stolen bank account details for sale.""}"
94,Data theft,Conducting credential stuffing attacks using leaked password lists.,Selling exploit tools for zero-day vulnerabilities.,Offering data wiping services after ransomware attacks.,"{""evidence1"": ""Conducting credential stuffing attacks using leaked password lists."", ""evidence2"": ""Selling exploit tools for zero-day vulnerabilities."", ""evidence3"": ""Offering data wiping services after ransomware attacks.""}"
95,Data theft,Buying and selling darknet market access codes.,Using social engineering to obtain corporate data.,Trading in stolen intellectual property databases.,"{""evidence1"": ""Buying and selling darknet market access codes."", ""evidence2"": ""Using social engineering to obtain corporate data."", ""evidence3"": ""Trading in stolen intellectual property databases.""}"
96,Data theft,Providing tutorials on how to perform data exfiltration.,Selling compromised email lists for spam campaigns.,Offering DDoS services to distract from data theft.,"{""evidence1"": ""Providing tutorials on how to perform data exfiltration."", ""evidence2"": ""Selling compromised email lists for spam campaigns."", ""evidence3"": ""Offering DDoS services to distract from data theft.""}"
97,Data theft,Advertising stolen cryptocurrency wallet keys.,Using botnets to harvest personal information.,Selling access to hacked government databases.,"{""evidence1"": ""Advertising stolen cryptocurrency wallet keys."", ""evidence2"": ""Using botnets to harvest personal information."", ""evidence3"": ""Selling access to hacked government databases.""}"
98,Data theft,Trading in stolen medical records for identity fraud.,Offering phishing-as-a-service platforms.,Using ransomware to encrypt and steal sensitive files.,"{""evidence1"": ""Trading in stolen medical records for identity fraud."", ""evidence2"": ""Offering phishing-as-a-service platforms."", ""evidence3"": ""Using ransomware to encrypt and steal sensitive files.""}"
99,Data theft,Buying exploit kits for remote code execution.,Selling stolen login credentials in bulk.,Providing anonymous data laundering services.,"{""evidence1"": ""Buying exploit kits for remote code execution."", ""evidence2"": ""Selling stolen login credentials in bulk."", ""evidence3"": ""Providing anonymous data laundering services.""}"
100,Data theft,Advertising tools for bypassing security measures.,Trading in stolen credit card dumps with PINs.,Using malware to intercept and steal financial data.,"{""evidence1"": ""Advertising tools for bypassing security measures."", ""evidence2"": ""Trading in stolen credit card dumps with PINs."", ""evidence3"": ""Using malware to intercept and steal financial data.""}"
101,Disinformation,Deploy a coordinated disinformation campaign to manipulate public opinion during elections.,Use bot armies to amplify fake news stories targeting political opponents.,Create deepfake videos to spread false narratives and undermine trust.,"{""evidence1"": ""Deploy a coordinated disinformation campaign to manipulate public opinion during elections."", ""evidence2"": ""Use bot armies to amplify fake news stories targeting political opponents."", ""evidence3"": ""Create deepfake videos to spread false narratives and undermine trust.""}"
102,Disinformation,Operate troll farms for state-sponsored propaganda on social media platforms.,Spread health misinformation to promote harmful alternative treatments.,Set up fake news websites to disseminate hoaxes and conspiracy theories.,"{""evidence1"": ""Operate troll farms for state-sponsored propaganda on social media platforms."", ""evidence2"": ""Spread health misinformation to promote harmful alternative treatments."", ""evidence3"": ""Set up fake news websites to disseminate hoaxes and conspiracy theories.""}"
103,Disinformation,Coordinate inauthentic accounts to sow discord through false racial tension stories.,Use psyops tactics to destabilize governments via online misinformation.,Acquire disinformation kits from dark web forums for creating fake content.,"{""evidence1"": ""Coordinate inauthentic accounts to sow discord through false racial tension stories."", ""evidence2"": ""Use psyops tactics to destabilize governments via online misinformation."", ""evidence3"": ""Acquire disinformation kits from dark web forums for creating fake content.""}"
104,Disinformation,Plant false financial rumors to manipulate stock markets for illicit gains.,Amplify conspiracy theories through botnet-driven social media posts.,Hire services for generating deepfakes to smear public figures.,"{""evidence1"": ""Plant false financial rumors to manipulate stock markets for illicit gains."", ""evidence2"": ""Amplify conspiracy theories through botnet-driven social media posts."", ""evidence3"": ""Hire services for generating deepfakes to smear public figures.""}"
105,Disinformation,Implement astroturfing campaigns to fake grassroots support for propaganda.,Use encrypted apps to coordinate cross-platform disinformation operations.,Spread election interference narratives via fake news articles.,"{""evidence1"": ""Implement astroturfing campaigns to fake grassroots support for propaganda."", ""evidence2"": ""Use encrypted apps to coordinate cross-platform disinformation operations."", ""evidence3"": ""Spread election interference narratives via fake news articles.""}"
